case_id,storm_id,name,basin,episode_index,episode_start,episode_end,closest_approach_time,reference_time,reference_event,latitude,longitude,nearest_coast_latitude,nearest_coast_longitude,minimum_coast_distance_km,lifetime_vmax_kt,coastal_episode_vmax_kt,closest_approach_vmax_kt,reference_vmax_kt,crossing_vmax_kt,landfall_vmax_kt,coastline_crossing,crossing_count,landfall_crossing,landfall_count,coastline_exit,exit_count,tangent_crossing_count,r34_contact,r50_contact,r64_contact,r34_contact_hours,coastal_contact_span_hours,tier,primary_sample,selection_method,center_surface_at_closest_approach,center_surface_at_reference,nature_at_closest_approach,usa_status_at_closest_approach,nature_at_reference,usa_status_at_reference,track_types,provisional_track,r34_coverage_fraction,usa_wind_coverage_fraction,qc_status
2022239N22150-CE01,2022239N22150,HINNAMNOR,WP,1,2022-08-29 06:36:00+00:00,2022-08-29 11:42:00+00:00,2022-08-29 09:00:00+00:00,2022-08-29 09:00:00+00:00,coastal_approach,27.4,142.2,27.485778,142.214639,9.61465445405963,145.0,119.0,88.0,88.0,,,False,0,False,0,False,0,0,True,True,True,5.1,5.1,A,True,wind_radius,sea,sea,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022239N22150-CE02,2022239N22150,HINNAMNOR,WP,2,2022-08-30 17:20:00+00:00,2022-08-31 12:00:00+00:00,2022-08-30 20:40:00+00:00,2022-08-30 20:40:00+00:00,coastal_approach,26.122441857096607,131.1887537321658,25.955,131.285472,20.924374711921025,145.0,135.0,130.0,130.0,,,False,0,False,0,False,0,0,True,True,True,13.818452380972223,18.666666666666668,A,True,wind_radius,sea,sea,TS,ST,TS,ST,main,False,1.0,1.0,passed
2022239N22150-CE03,2022239N22150,HINNAMNOR,WP,3,2022-09-02 13:00:00+00:00,2022-09-06 17:05:13.043478+00:00,2022-09-05 19:36:00+00:00,2022-09-03 14:32:16.566754+00:00,landfall,24.63839707056672,124.71544350269308,24.63839707056672,124.71544350269308,0.0,145.0,105.0,77.33333333333333,87.4,87.4,87.4,True,5,True,5,True,4,3,True,True,True,92.05407925375,100.08695652166666,A,True,landfall_crossing+wind_radius+distance_proxy,sea,coastline,TS,TY,TS,TY,main,False,0.7672634271099744,0.7672634271099744,passed
2022248N14259-CE01,2022248N14259,KAY,EP,1,2022-09-06 12:25:42.857142+00:00,2022-09-09 23:24:00+00:00,2022-09-08 20:12:51.428571+00:00,2022-09-08 20:21:07.743671+00:00,landfall,27.14631971953704,-114.28201547133936,27.14631971953704,-114.28201547133936,0.0,85.0,85.0,60.0,60.0,60.0,60.0,True,1,True,1,True,1,0,True,True,True,78.43273809541665,82.97142857166666,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TS,TS,TS,main,False,0.9590909090909092,1.0,passed
2022247N26147-CE01,2022247N26147,MUIFA,WP,1,2022-09-10 23:00:00+00:00,2022-09-15 16:17:08.571428+00:00,2022-09-14 23:24:00+00:00,2022-09-12 03:08:14.178193+00:00,landfall,24.41372887628158,124.09543463225128,24.41372887628158,124.09543463225128,0.0,110.0,110.0,56.0,80.0,80.0,80.0,True,14,True,14,True,13,3,True,True,True,95.66309523819444,113.28571428555556,A,True,landfall_crossing+wind_radius+distance_proxy,land,coastline,TS,TS,TS,TY,main,False,0.875,1.0,passed
2022246N18301-CE02,2022246N18301,EARL,NA,2,2022-09-10 08:15:00+00:00,2022-09-12 12:36:00+00:00,2022-09-12 06:00:00+00:00,2022-09-12 06:00:00+00:00,coastal_approach,44.29999999999999,-52.1,46.625722,-53.16152799999999,271.4808764195968,95.0,93.5,40.0,40.0,,,False,0,False,0,False,0,0,True,True,False,52.35,52.35,B,True,wind_radius,sea,sea,ET,EX,ET,EX,main,False,1.0,1.0,passed
2022254N24143-CE01,2022254N24143,NANMADOL,WP,1,2022-09-16 13:17:08.571428+00:00,2022-09-20 00:08:34.285714+00:00,2022-09-18 14:37:30+00:00,2022-09-18 08:23:51.200672+00:00,landfall,31.179511893685035,130.6,31.179511893685035,130.6,0.0,135.0,135.0,75.625,86.33333333333333,86.33333333333333,86.33333333333333,True,9,True,9,True,9,3,True,True,True,62.80702076361111,82.85714285722223,A,True,landfall_crossing+wind_radius+distance_proxy,land,coastline,TS,TY,TS,TY,main,False,0.7236842105263158,0.7236842105263158,passed
2022257N16312-CE01,2022257N16312,FIONA,NA,1,2022-09-17 15:36:00+00:00,2022-09-19 07:00:00+00:00,2022-09-18 19:00:00+00:00,2022-09-18 19:08:05.413380+00:00,landfall,17.970238854532326,-67.07019711533643,17.970238854532326,-67.07019711533643,0.0,120.0,80.0,75.0,75.0,80.0,80.0,True,3,True,3,True,2,1,True,True,True,37.85833333333333,39.4,A,True,landfall_crossing+wind_radius,sea,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022257N16312-CE02,2022257N16312,FIONA,NA,2,2022-09-19 14:24:00+00:00,2022-09-21 04:30:00+00:00,2022-09-19 14:24:00+00:00,2022-09-19 14:16:13.542325+00:00,landfall,19.02708847987194,-69.12694401213258,19.02708847987194,-69.12694401213258,0.0,120.0,120.0,79.0,79.0,100.0,100.0,True,3,True,3,True,4,0,True,True,True,36.8,38.1,A,True,landfall_crossing+wind_radius,land,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022257N16312-CE03,2022257N16312,FIONA,NA,3,2022-09-23 00:32:43.636363+00:00,2022-09-23 13:12:00+00:00,2022-09-23 09:40:00+00:00,2022-09-23 09:40:00+00:00,coastal_approach,33.52360155294915,-66.09169149337178,32.304083,-64.883389,176.256872776148,120.0,115.0,115.0,115.0,,,False,0,False,0,False,0,0,True,True,True,12.654545454722223,12.654545454722223,A,True,wind_radius,sea,sea,TS,HU,TS,HU,main,False,1.0,1.0,passed
